-697.20,2341.37
-792.16,2320.76
-729.78,2345.90
-720.57,2349.01
-694.93,2356.44
-685.66,2360.03
-674.59,2341.62
-663.53,2135.12
-733.72,2244.50
-742.13,2255.65
-752.26,2273.00
-669.90,2146.72
-680.53,2171.42
-689.53,2179.68
-696.82,2191.34
-708.19,2200.21
-711.65,2215.13
-718.54,2224.65
-725.43,2234.66
-650.78,2345.99
-713.81,2286.41
-722.30,2298.43
-707.71,2308.08
-685.31,2306.48
-553.51,2165.42
-587.32,2149.28
-644.32,2380.60
-611.69,2246.94
-639.16,2297.69
-662.07,2222.55
-648.70,2240.69
-647.59,2256.48
-635.22,2266.86
-623.87,2271.28
-654.17,2160.81
-670.29,2180.33
-685.47,2201.39
-708.33,2233.64
-715.14,2244.91
-721.25,2254.68
-729.04,2266.83
-687.36,2228.05
-680.73,2244.00
-701.38,2250.83
-698.00,2262.03
-747.20,2327.20
-656.20,2289.77
-660.87,2305.83
-648.90,2324.98
-776.52,2303.85
